candidate,sentiment,text,tweet_coord
Donald Trump,Negative,"RT @G_Humbertson: Trump claimed last night that he's given most of his opponents money. Actually, just one. #GOPDebate http://t.co/xztTCvMPäó_",
Donald Trump,Negative,RT @ThePatriot143: äìî¥Ÿè @FoxNews was totally fair to @realDonaldTrump especially in the 1st 2mins of the #GOPDebate http://t.co/6W3EpMpOeJ,
Donald Trump,Neutral,"RT @LadySandersfarm: Will @megynkelly  Ever Ask Rosie to Apologize for Her Foul, Abusive, Ugly Attacks on Donald #Trump? https://t.co/zxasmäó_",
Donald Trump,Negative,Thoughts on #GOPdebate: Trump had so much more time than everyone because he can't answer ?s succinctly. Or at all #NotTrump #anyonebut,
Donald Trump,Negative,"RT @kharyp: #DonaldTrump Finally Called Out For Insulting Women As äóÖFat Pigs, Dogs, Slobs, And Disgusting Animalsäó» http://t.co/fE6kZ2mmmB #äó_",
Donald Trump,Negative,"RT @TrumpIssues: An illegal alien can be deported 5 X, make it back into the country, kill an American woman, but Trump can't call someone äó_",
Marco Rubio,Neutral,On #immigrationreform #GOPDebate marcorubio: most are Central Americans not Mexicans (true) and he wants electronic monitoring systems Don'äó_,
Donald Trump,Negative,My LOVE for @megynkelly died tonight at the #GOPDebate #FoxNews #TrumpCruz2016 #MakeAmericaGreatAgain,
Marco Rubio,Negative,RT @TH3R34LTRUTH: #Rubio said he was worried about all the people who can't get in. How about worrying about those born here 4a change #GOPäó_,
Donald Trump,Negative,#GOPDebate Am I the only one who noticed that Donald Trump admitted to bribing public officials?,
Donald Trump,Negative,"I don't know who runs @realDonaldTrump's Twitter feed, but Gawd...Grow up Donald! Put on your big boy pants and stop whining! #GOPDebate",
Donald Trump,Positive,@FoxNews failed @megynkelly appeared follish and @realDonaldTrump ROCKED the HOUSE!#GOPDebate  https://t.co/BUoYE6dNLl,
Donald Trump,Negative,Trump WOULD NOT take a Pledge NOT to run 3rd Party- DISQUALIFIED- GET OUT #Tcot #ccot #RedNationRising #GOPDebate,
Donald Trump,Neutral,"RT @TrumpIssues: It took the @POTUS 5 DAYS 2 lower the flag 2 honor soldiers killed in #Chattanooga, but Trump better not call a woman slobäó_",
Donald Trump,Negative,@ThePatriot143 @realDonaldTrump @FoxNews Trump didn't need a lot of rope to completely hang himself. He's an embarrassment. #GOPDebate,
Donald Trump,Negative,"""Dump The Duncald"" #Dunce #Donald #GOPDebate #Decision2016",
Donald Trump,Negative,"RT @TrumpIssues: Congress &amp; morons like @NancyPelosi can pass a bill WITHOUT reading it, but Trump better not call someone a slob. #GOPDebaäó_",
Marco Rubio,Positive,RT @comcatholicgrl: @marcorubio slaying #GOPDebate http://t.co/sLFVbkScmS,
Marco Rubio,Negative,#rubio mis-statement on abortion record will do him some harm among conservatives #GOPDebate,
Donald Trump,Negative,RT @TheRealEubanks: Next #GOPDebate #Trump needs to let me do something with that hair!!!!! #fashion,
Donald Trump,Positive,@realDonaldTrump is a treat for us all to enjoy. #GOPDebate,
Ted Cruz,Neutral,"RT @Jam1p: _ôÍ¢Somehow our friends at FOX  missed the #GOPDebate 
@SenTedCruz took on:
Obama  
Hillary
Washington
Islamic Jihad
OHealthCare
äó_",
Donald Trump,Neutral,"RT @pattonoswalt: ""Jesus...good guy. I would've sealed his tomb better. Cheap craftsmanship, a boulder that can just be rolled away."" -- Träó_",
Marco Rubio,Negative,Marco Rubio Briefly Backed Immigration Reform Then Privately Berated DREAMers http://t.co/We77QdT3Kt #GOPDebate http://t.co/R406NpVEx5,
Donald Trump,Negative,RT @roelgk: Ignorant. Obnoxious. Repulsive. And Intolerable. Donald Trump is a pure JOKE! Americans cannot let this CLOWN become president!äó_,
Ted Cruz,Negative,"RT @pattonoswalt: Oh, Ted Cruz. You have the same pudding chin and beta-male energy that I do. Go into comedy. I can get you on at The Virgäó_",
Marco Rubio,Positive,@DerrickBMartin: Stand-outs #GOPDebate   1.@marcorubio 2.@CarlyFiorina 3.@tedcruz 4.@RealBenCarson 5.@RickSantorum,
Ted Cruz,Positive,@rushlimbaugh You are so #SpotOn Rush about t order coming down Fox to take out #Trump. #GOPDebate I knew it was true on 1st ? #Cruz2016,
Donald Trump,Negative,RT @FreedomTexasMom: . @megynkelly nice attempt at provoking @realDonaldTrump to attack you instead of focusing on the issues. #epicFAIL #Gäó_,
Donald Trump,Negative,"RT @DudeYouCrazy: Trump just missed a golden opp to say, ""Know who else filed bankruptcy? 50 cent. And Fifty is a P.I.M.P. Sorry, Huckabee.äó_",
Marco Rubio,Positive,I was surprisingly impressed with @marcorubio last night. Definitely is moving up my list of candidates! #GOPdebate,
Donald Trump,Negative,"RT @katyfromkansas: Get Your Free Tacos Tonight, Courtesy of Donald Trump http://t.co/imXpyfqRPQ via #startup @Eat24 #GOPDebate http://t.coäó_",
Donald Trump,Negative,@AC360 @donnabrazile American people are not going to put up with #PCPolice feelings #trumptruth is the pulse of #AmericanVoters #GOPDebate,
Donald Trump,Neutral,"Moment #Megyn Kelly Burns #DonaldTrump ""You Called #Women Fat Pigs, Disgusting animals"" #USA #GOPDEBATE
https://t.co/VViA1NUyLd via @YouTube",
Donald Trump,Negative,"Working on a huge #GOPDebate social data story. Some interesting trends, such as Trump not having the most tweeted-about moment last night.",
John Kasich,Positive,"RT @pattonoswalt: Well holy shit, Kasich. Good on you. #GOPDebate",
Ted Cruz,Positive,"RT @TheFriddle: It would be so epic. I'd love to see Cruz, Rubio, Fiorina debate. Just the three of them. #EPIC #GOPDebate  https://t.co/s1äó_",
Donald Trump,Negative,RT @thehinestheory: Donald Trump wasn't kidding when he said he wasn't going to prepare for this debate... We can tell. #GOPDebate,
Donald Trump,Negative,Congrats @megynkelly 4 calling out @realDonaldTrump 4 being the #pig that he is! #NeverWillBePOTUS #GOPDebate #Bernie2016,
Donald Trump,Neutral,Chris Wallace wanted Trump and Bush to throw some hands. #GOPDebate #DonaldTrump #JebBush http://t.co/Q3BpYSeSuE,
Donald Trump,Neutral,"RT @WhineNot: Rush: ""Big time Republican donors were ordered to take out Donald Trump"" #believable #GOPDebate",
Donald Trump,Negative,RT @Bipartisanism: Donald Trump at the #GOPDebate be like: http://t.co/Ak10IHSCXC,
Donald Trump,Negative,Your wife @MELANIATRUMP looks exactly like @Caitlyn_Jenner. Get her a better plastic surgeon. #GOPDebate  https://t.co/w0kxqFX7cu,
Donald Trump,Positive,RT @allegrakirkland: .@realdonaldtrump shared some inspiring applause lines at last night's #GOPDebate: http://t.co/5hWdKfgPxA http://t.co/äó_,
Donald Trump,Negative,"Watching the #GOPDebate from last night. Ouf, it's tough hearing Donald Trump speak. Gonna be a long road to the Republican nomination.",
Donald Trump,Negative,@realDonaldTrump posted #MeanTweets about my boy @FrankLuntz. I'm glad he had the good taste to avoid ugly comments about hair. #GOPDebate,
Ted Cruz,Negative,RT @TC_Watkins: @DomenicoNPR @MediaEqualizer crazy that Cruz only got 3 mins at debate #gopdebate,
Ted Cruz,Positive,"RT @johncardillo: .@SenTedCruz is brilliant, principled, and fearless. The future of the party. The est. Rove, Priebus @GOP is a statist diäó_",
Donald Trump,Negative,I'm pretty sure Trump's popularity indicates there are just as many Republicans trolling this primary as Democrats. #GOPDebate,
Donald Trump,Negative,RT @laina622: The king of resting bitch face #GOPDebate http://t.co/PvOS66iH2R,
Donald Trump,Negative,@realDonaldTrump the other repubs didn't have attack orders bc @foxnews had the attack order. #gopdebate @rushlimbaugh,
Donald Trump,Negative,RT @ScottWGraves: F**K @realDonaldTrump and those who would actually abandon their conservative values in support of his ridiculous candidaäó_,
Donald Trump,Negative,Trump would put the POS in POTUS #GOPDebate #scary #ReallyAmerica,
Donald Trump,Negative,&gt;@realDonaldTrump has now spent more time attacking @megynkelly on Twitter than he spent on any #GOPdebate subject. http://t.co/L9WWPiEHdI,
Marco Rubio,Negative,"Rubio Budget Raises MiddleClass Taxes, Adds $4.5T Deficit, Cuts InvestmentTax To $0 http://t.co/9S9NuVSAf7 #GOPDebate http://t.co/z9v38Vhi03",
Donald Trump,Negative,RT @luchadora41: Trump: äóÖI Wouldäó» Shut Down the Goväó»t to Defund Planned Parenthood and Obamacare http://t.co/XiwhA8kjf7 Woot! #GOPDebate,
Donald Trump,Negative,"It took the @POTUS 5 DAYS 2 lower the flag 2 honor soldiers killed in #Chattanooga, but Trump better not call a woman slob. #GOPDebate #PC",
Donald Trump,Positive,"RT @AmyMek: .@foxnews tried their best to destroy @realDonaldTrump tonight! However, it didn't workäó_.it just exposed your network! #Fail #Gäó_",
Donald Trump,Negative,RT @YvetteCooper_MP: Here's Donald Trump channelling his inner c*nt at the #GOPDebate http://t.co/7atHCmpMuR,
Donald Trump,Negative,RT @Brenkoski: 37% of the time during the #GOPDebate was the commentators questions &amp; digs at @realDonaldTrump Terrible 1st debate hosted bäó_,
Marco Rubio,Negative,I see Marco Rubio is still thirsty. #TrumpchoseCrist #GOPDebate #youmadbro http://t.co/TX5hLqiT2R,
Donald Trump,Negative,"RT @GovtsTheProblem: Did @FoxNews, which excluded the only woman in @GOP field from first debate, ask Trump if he was part of the ""war on wäó_",
Ted Cruz,Positive,RT @ChuckNellis: FINALLY a #TedCruz question! And he HAMMERS it over the center field wall &amp; out of the park!! #CruzCrew #GOPDebate,
Donald Trump,Negative,Donald Trump insulted @megynkelly and ALL women and not one man on stage confronted him. None of them are worthy to be President. #GOPDebate,
Donald Trump,Negative,I've known Donald Trump was crazy ever since I saw my first bottle of Trump Ice. #DonaldTrump #GOPdebate http://t.co/vYjQt1fjYX,
Donald Trump,Negative,"WATCH #MegynKelly Burns #DonaldTrump 'You Called #Women Fat Pigs &amp; Digusting Animals' #USA #GOPDEBATE
https://t.co/VViA1NUyLd via @YouTube",
Donald Trump,Neutral,RT @seanhannity: .@realDonaldTrump: Now some of the people you would least expect are calling me up and apologizing. #Hannity #GOPDebate,
Donald Trump,Negative,"#Trump lowered the bar for #Jeb, who smacked his head into it  #GOPClownCar #GOPDebate",
Donald Trump,Negative,Trump shows his true colors at the GOP debate - http://t.co/BWIpvDCMQy #GOPDebate #Trump #Garybusey,
Donald Trump,Neutral,#GOPDebate @FoxNews @realDonaldTrump  in 2004 you called a woman a nickel&amp;dime whore. Do you stand by that statement now running for POTUS?,
Donald Trump,Positive,RT @Raiden679: Good explanation as to why #Trump surges ahead of other #cuckservative candidates. #GOPDebate http://t.co/hagmnn1Tv7 http://äó_,
Marco Rubio,Negative,"Really, Marco Rubio won last night's #GOPDebate? Which debate was I watching?",
Donald Trump,Positive,@realDonaldTrump #MakeAmericaGreatAgain #GOPDebate #TrumpForPresident  I put this together for you. http://t.co/TZtK7BC1rm via @chirbit,
Donald Trump,Positive,"RT @bobcesca_go: Trump won the debate. Christie, I think, was a strong second. #GOPDebate",
Donald Trump,Negative,RT @andrewklavan: This is basically my take-away from tonight's #GOPDebate. http://t.co/qtYyoWKLNG,
Donald Trump,Negative,Did Donald Trump just openly admit to buying candidates ....? #GOPDebate,
Donald Trump,Negative,"F**K @realDonaldTrump and those who would actually abandon their conservative values in support of his ridiculous candidacy.
#GOPDebate",
Donald Trump,Neutral,"Rush: ""Not one of the 9 other candidates on the stage joined Megan Kelly in going after Donald Trump"" #GOPDebate",
Donald Trump,Negative,Trump should do like Obama and refuse to communicate with #PoxNews for saying anything he doesn't like.  #GOPDebate,
Donald Trump,Negative,That #GOPDebate last night was ridiculously biased against @realDonaldTrump the moderators were very unprofessional.,
Donald Trump,Neutral,"""You once told a contestant on Celebrity Apprentice it would be a pretty picture to see her on her knees"" 
OMFG #GOPdebate",
Donald Trump,Negative,@megynkelly Trump simply can't be harmed by his own impolitik statements. It's like trying to drown Aquaman. #GOPDebate #DonaldTrump,
Ted Cruz,Negative,"RT @FreedomJames7: Never Forget: Ted Cruz Never Supported Amnesty.
#GOPDebate",
Donald Trump,Positive,17 candidates + #Trump makes the #GOPDebate interesting for a change! Top 10 moments from Thursday's debate http://t.co/1069hw6pbl,
Donald Trump,Negative,RT @megynkelly: .@FrankLuntz focus group gives low marks to @realDonaldTrump saying heäó»d consider third party candidacy. #GOPDebate,
Donald Trump,Negative,RT @Nickcalves: Tell me this isn't @realDonaldTrump?? #GOPDebate http://t.co/tj5UEuQ8jM,
Ted Cruz,Neutral,@DomenicoNPR @MediaEqualizer crazy that Cruz only got 3 mins at debate #gopdebate,
Donald Trump,Negative,äóì@bennydiego: The unplanned parenthood. #foxnews #gopdebate http://t.co/C1fFLfYReuäóù,
Ted Cruz,Negative,RT @matthewherper: Cruz: We need a commander in chief who makes clear that if you join ISIS you are signing your death warrant. #GOPDebate,
Donald Trump,Negative,"Trump claimed last night that he's given most of his opponents money. Actually, just one. #GOPDebate http://t.co/xztTCvMPlI",
Marco Rubio,Negative,"RT @ThePatriot143: Rubio Says He Wants Border Fence, Visa Tracking System, But Voted Against Both to Pass Gang of Eight Bill http://t.co/Qtäó_",
Donald Trump,Negative,"Trump Supporters äù_¥Ÿè To Attack Other Conservative Followers _ôÖ_
#GOPDebate",
Donald Trump,Negative,"RT @shhhhhionn: Trump calls everybody ""clowns"" and ""puppets"" because he believes, correctly, that he is at a children's birthday party. #GOäó_",
Donald Trump,Negative,The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate,
Ted Cruz,Positive,"RT @ChadPergram: Cruz: We need a commander in chief who makes clear if you join ISIS, then you are signing your death warrant. #GOPDebate",
Marco Rubio,Negative,"New game! 1 person CAN'T win. Players close eyes &amp; try to find them by saying ""Marco"", &amp; waiting for the loser to reply, ""Rubio"". #GOPDebate",
Marco Rubio,Positive,Marco Rubio debating like a champ. #partyofthefuture #GOPDebate,
Donald Trump,Negative,RT @RviydoGUTV: Donald Trump is like Sanjaya from American Idol. You know he won't win but you're curious to see how far he will go #GOPDebäó_,
Donald Trump,Neutral,RT @MolonLabe1776us: How much did Hillary/ CNN/ and MSNBC pay you to moderate tonight? @megynkelly #GOPDebate @realDonaldTrump #TCOT http:/äó_,
Donald Trump,Negative,Only person @realDonaldTrump had a problem with is @megynkelly -Trump has issues with women He doesn't respect women #GOPDebate #msnbc #cnn,
Donald Trump,Negative,"RT @MrIanMacIntyre: On the FB post of last night's #GOPdebate, all the comments seem to be attacking Fox News for ""attacking Trump"". _ôÖó_ôÖó_ôÖó htäó_",
Marco Rubio,Negative,"#gopdebate Marco Rubio was asked after the debate, Q: how would you create jobs? A: Tax cuts 4 rich &amp; modify social security &amp; Medicare. : /",
Donald Trump,Negative,"RT @aurabogado: Half an hour into it, Donald Trump has made it clear he hates: women, immigrants, reporters, and leaders. #GOPDebate",
Donald Trump,Positive,@joshtpm #GOPDebate Mission Statement: Tell more people that U love them U never know how much they might need it -C Brogan,
Donald Trump,Negative,"RT @TrumpIssues: This prick can call the death of #KateSteinle a ""little thing,"" but Trump can't call someone a dog. #GOPDebate #PC https:/äó_",
Donald Trump,Negative,Preview of Donald Trump tonight at the #GOPDebate (Vine by @CaseyBake16) https://t.co/CRAEVHInKb,
Donald Trump,Negative,"@Krauthammer: ""The real story is the collapse of (@realDonaldTrump) in this (#GOPDebate)."" http://t.co/Csm0a7ddpz",
Donald Trump,Negative,Like honestly why does any one on that stage validate trump by talking about him or to him #GOPDebate,
Donald Trump,Negative,RT @BiasedGirl: This douchebag doesn't know how to talk to decent people. Bill Clinton get Your Boy on a Leash #DumpTrump #GOPDebate https:äó_,
John Kasich,Neutral,"RT @FreedomJames7: Montel Williams Just Endorsed John Kasich For President.
#GOPDebate http://t.co/eZ9yL3UXXs",
Ted Cruz,Positive,RT @ChuckNellis: When @TedCruz talks we are such similar souls; this is the 1980 election all over &amp; a REAL Conservative is the ANSWER! #GOäó_,
Donald Trump,Negative,I love hearing all the #Trump Chumps whining about the #GOPDebate moderators. Maybe they should worry more about his lack of cogent ideas.,
Donald Trump,Negative,"RT @pattonoswalt: Immigration. Save Trump for the end. No one can follow GG Allin shitting onto the stage, guys. #GOPDebate",
Donald Trump,Negative,RT @nickmartin: Donald Trump's most outrageous lines from the #GOPDebate tonight: http://t.co/tbdk1gtxND by @KT_thomps http://t.co/v3TltVJ0äó_,
Donald Trump,Negative,@realDonaldTrump didn't like @megynkelly pressing question.  Resorts to calling her a 'bimbo'.  #GOPDebate #noclass https://t.co/Z6nQmfUxHg,
Donald Trump,Negative,"From @GlennCook_NV: #GOPdebate marks beginning of the end for #Trump: https://t.co/VDBYGTLZGO, via @reviewjournal",
Donald Trump,Negative,"@lyndonjackmon Dearheart #BoyAboutTown is never upset about ppls views,no matter how misguided. After #GOPDebate #DonaldTrump is a non issue",
Donald Trump,Negative,"RT @RickCanton: Am I the only one who noticed @realDonaldTrump admitting to not being a Republican?
It was a #GOPDebate, not an #IDontKnowäó_",
Donald Trump,Negative,"Leaders make tax-payers fund @Ppact even when it's against their beliefs, but Trump can't call a person a disgusting animal. #GOPDebate #PC",
Donald Trump,Neutral,"RT @larryelder: How DARE FOX ask #DonaldTrump for proof that ""Mexico is sending criminals."" Who do they think they are? (sarcasm)
#GOPDebate",
Donald Trump,Negative,Did Trump Implode in #FOXdebate? Special new @hlcpodcast #GOPdebate edition http://t.co/HEYhWpWUWx #mapoli #nhpolitics #mepolitics #trump,
Ted Cruz,Positive,"RT @TexanCat: I am 50 &amp; have never been more proud of a political candidate. TY, @tedcruz. Hope more Americans will soon feel same. #CruzCräó_",
Donald Trump,Negative,"RT @el_nuko: @Stonewall_77 @megynkelly @BretBaier @FrankLuntz @FoxNews @realDonaldTrump did #Jeb get 5, no 6 softball q's last night? #GOPDäó_",
Donald Trump,Positive,WHAT IS LOVE? Presenting D Trump at the Roxbury! https://t.co/SERwdl1yfc #DonaldTrump #GOPDebate http://t.co/k5kvYbeij8,
John Kasich,Positive,RT @holly_harris: On @TODAYshow @chucktodd says @JohnKasich helped himself the most in the #GOPDebate. Kasich's 1st answer of night includeäó_,
Donald Trump,Negative,"Donald Trump would be a bad President, but an excellent Pro Wrestler. Finishing move: The Trump Card! #GOPDebate",
John Kasich,Neutral,Follow up question to @JohnKasich: Will you nominate supreme court justices that will uphold marriage equality cases? #GOPDebate,
Donald Trump,Positive,RT @ShooterMcGavin_: Donald Trump is the Shooter McGavin of Politicians #GOPDebate,
Donald Trump,Negative,"The media seem to be leaving out the most disturbing comments Trump made to Megan Kelly where he made a veiled threat to her.
#gopdebate",
Marco Rubio,Negative,RT @VerifiedDrunk: I'd love to do a body shot out of Marco Rubio's ears. #GOPDebate,
Donald Trump,Negative,"Rush Limbaugh to Megyn Kelly ""I know no Democrat Candidate would be treated the way Megyn Kelly treated Trump."" #FoxNews #GOPDebate",
Ted Cruz,Positive,"Frank Luntz: #GOPDebate ""Great News for Ted Cruz"" https://t.co/lZWVLuBgNq via @YouTube",
Ted Cruz,Neutral,"RT @pondlizard: Ted Cruz reacts to Fox News GOP debate on ""Hannity"" http://t.co/B4LzAIhOk3 via @YouTube #GOPdebate",
Donald Trump,Neutral,"RT @LauraSanthanam: Top 3 #GOPDebate times
Trump 11:06
Bush 8:40
Huck 6:39
MORE RESULTS HERE: http://t.co/o06uCZXFF8",
Ted Cruz,Negative,RT @kyleraccio: Fox News must be taking marching orders from RNC by their treatment of Cruz and Trump and Carson. #gopdebate,
Donald Trump,Negative,"On the FB post of last night's #GOPdebate, all the comments seem to be attacking Fox News for ""attacking Trump"". _ôÖó_ôÖó_ôÖó http://t.co/YuLgjreYvU",
Donald Trump,Negative,RT @amandagutterman: Trump wants to treat Mexicans like the white walkers #GOPDebate,
Donald Trump,Negative,"RT @renomarky: #GOPDebate #FoxDebate #DonaldTrump #MegynKelly 
To start debate with a loaded sexist question was unfair &amp; disgusting http:/äó_",
Donald Trump,Negative,RT @Raddmom: @megynkelly you mean before you crash and burned- you're despicable- never watch your show again- EVER! #GOPDebate @realDonaldäó_,
Donald Trump,Negative,RT @_HankRearden: .@megynkelly so would you consider Trump part of the 'patriarchy?' Serious question. #GOPDebate,
Donald Trump,Negative,"@keder they missed an ""h"" in that. It's supposed to read ""Whiner: Donald Trump"" #GOPDebate",
Donald Trump,Negative,@woodruffbets @thedailybeast And you just proved @realDonaldTrump point on bad journalists from the #GOPDebate can't even describe it right,
Donald Trump,Negative,"I would say that Trump appeared incompetent in the #GOPDebate, but that wouldn't be very nice.",
Donald Trump,Neutral,@HuntsmanAbby @SIRIUSXM @PeteDominick @krystalball #GOPDebate  @JonHuntsman https://t.co/AyxbtXwsKR Money Can't Buy Me Love? It Can -D Trump,
Donald Trump,Neutral,Donald Trump &amp; Hillary Clinton deserve each other. I guess if the parties nominate these 2 phonies then America deserves them too #GOPDebate,
Ted Cruz,Positive,"RT @KLSouth: Ted #Cruz was the smartest, most articulate man on stage at #GOPDebate - Most Presidential. https://t.co/Umk17vuktJ",
Donald Trump,Negative,@stephenmengland @realDonaldTrump Donald Trump is starting to Implode but I doubt that his supporters even notice. #GOPDebate,
Donald Trump,Neutral,RT @CNNMoney: #GOPDebate recap: @realDonaldTrump vs. @megynkelly. Who won the night? http://t.co/YwdF7hJgdB By @brianstelter http://t.co/Lzäó_,
Donald Trump,Negative,RT @LilaGraceRose: .@megynkelly asks good question on track record of #pro-abortion position @realDonaldTrump. Answer: obfuscation from #Träó_,
Ted Cruz,Negative,"RT @Writeintrump: Ted Cruz really looks like a ventriloquist dummy. I'm not going to lie, it's freaking me out.  #GOPDebate",
John Kasich,Neutral,"RT @rentamob: In #GOPDebate, John Kasich showed himself to be an alternative to Jeb Bush, says @LindaJKillian:  http://t.co/qnNSctIzO7 via äó_",
Ted Cruz,Positive,"Ted Cruz won that debate ""Imo"" 
#GOPDebate ""early numbers suggest record audience"" yea! people are watching",
Ted Cruz,Negative,"#GOPDebate: Did Cruz Trump Trump?
https://t.co/zMrfI7BoUc via @CR",
Donald Trump,Negative,FOX made an all out effort to take #DonaldTrump out. I hope his poll numbers catapult!! #GOPDebate,
Ted Cruz,Negative,RT @feministabulous: Ted Cruz thinks your birth control is an äóìabortion-inducing drugäóù  http://t.co/8O8FbzAfka #GOPDebate,
Donald Trump,Negative,@realDonaldTrump should purchase @FoxNews and relieve @megynkelly of her duties! #GOPDebate #tcot #Trump2016  https://t.co/TTp2x2gRRC,
Donald Trump,Negative,RT @speechboy71: Also losers and dummies RT @PeterBeinart: .@realDonaldTrump: only abort non-superstars #GOPDebate,
Marco Rubio,Positive,I like what Marco Rubio had to say at the beginning actually. #GOPdebate,
Donald Trump,Negative,"@megynkelly I WAS a big fan, watched your show nightly , until your LIB  attack on @realDonaldTrump #GOPDebate #NoKellyFiles #Trump2016",
Donald Trump,Negative,This image best sums up my thoughts regarding last night's #GOPDebate http://t.co/ko0eOisFJw,
Donald Trump,Negative,@PamelaGeller @AnnCoulter I think you on accidentally uploaded a pic of Hillary instead of @realDonaldTrump. #GOPdebate,
Donald Trump,Negative,RT @BiasedGirl: He admitted to paying Hillary to attend his wedding. Jesus. Fangirl much? I'd have gone with The Rock. That's just me. #Dumäó_,
Donald Trump,Negative,"RT @P0TUS: .@realDonaldTrump &lt;--- ""Pay no attention to those pesky facts behind the curtain""
#GOPDebate http://t.co/hxCUBSvTGL",
Donald Trump,Positive,"RT @TrumpIssues: Feminists can complain about the temperature in a room being a form of patriarchy, but Trump can't call one of them a slobäó_",
Marco Rubio,Negative,RT @michellemalkin: #gopdebate fact check via Julia Hahn==&gt; Marco Rubio: Still a fraud on border security/national security ==&gt; http://t.coäó_,
Donald Trump,Negative,"#gopdebate Trump hates fat people? He should look in the mirror. Poor Chris Christe won't challenge him. Well, you know why. : (",
Donald Trump,Negative,Trump Wouldn't take a pledge NOT to run 3rd Party- He couldn't  to answer when he became Conservative CUZ HES NOT #TCOT #ccot #GOPDebate,
Donald Trump,Negative,RT @Rob_guillory: My favorite part of the #GOPDebate was when Sting repelled from the ceiling and delivered a crushing Scorpion Death Drop äó_,
Donald Trump,Negative,"RT @pattonoswalt: Goddamit, Donald. Your soul is on fumes and your heart orbits a dying sun. but you're making this thing interesting. Fuckäó_",
Ted Cruz,Positive,"RT @mkdclsn: 29 RTs for truth, doing what you say. https://t.co/0RiaOiPYkQ Join @tedcruz's fight: http://t.co/qUSaXyQqVn #GOPDebate #RSR15",
Donald Trump,Negative,The zone has warned folks about Fox News commentators like #MegynKelly for months...http://t.co/IZ6Z3APgBH in relation to #GOPDebate &amp; Trump,
Donald Trump,Negative,Donald Trump just gave a master class on how to get away with #sexism http://t.co/lIwTJlzZfd via @voxdotcom #GOPDebate #GOPClownShow,
Donald Trump,Negative,RT @freedomtex: The real story was the collapse of Trump in this debate. -@krauthammer  #GOPDebate,
John Kasich,Negative,RT @linnyitssn: Kasich said yesterday that he wants to love and respect everybody which pretty much means his career in the GOP is over. #Gäó_,
Donald Trump,Neutral,"RT @danpfeiffer: Here's my late night not so hot take on the #GOPdebate. Short version, it's all abt Trump; Rubio good, Bush bad  http://t.äó_",
Donald Trump,Negative,Trump is overrated and angry. @megynkelly was surprisingly good. #FuckTrump #GOPDebate  https://t.co/ghFpF8MOvF,
Donald Trump,Positive,Trump: äóÖI Wouldäó» Shut Down the Goväó»t to Defund Planned Parenthood and Obamacare http://t.co/XiwhA8kjf7 Woot! #GOPDebate,
Donald Trump,Neutral,RT @edwrather: Last night at the debate we had an opportunity to hear the moderators debate Trump...the moderators lost #GOPDebate #Tcot #cäó_,
Donald Trump,Negative,"RT @RadioFreeTom: Trump's answer on his businesses so far is the certifiable disaster of the night, right after his ""I buy influence"" commeäó_",
Donald Trump,Negative,@realDonaldTrump where are your manners? #GOPDebate,
Donald Trump,Positive,RT @JacobEngels: .@realDonaldTrump is winning. Key takeaways from the #FoxDebate. http://t.co/DYLhHIHpDT #GOPDebate #sayfie #tcot #gop2016 äó_,
Donald Trump,Neutral,"Really, the only people who seem upset with @BretBaier &amp; @megynkelly &amp; FOX are the people who backed Trump. #GOPDebate",
Donald Trump,Negative,"""@RubinReport: Finally got it. Trump looks like Boss Nass from #StarWars. #GOPDebate http://t.co/e8GzqNhK9r"" @rockstarfudge",
Marco Rubio,Negative,"RT @LilaGraceRose: ""Generations will look back at us and call us barbarians."" @marcorubio talking about America's killing of preborn childräó_",
Ted Cruz,Neutral,"This: 
#GOPDebate http://t.co/x8V9vBUlc6",
John Kasich,Neutral,"RT @Dagny_Galt: Shorter @JohnKasich: ""I am proud to embrace the Obama agenda &amp; expand government in Ohio.""  #RINO #GOPDebate #tcot #teapartäó_",
Donald Trump,Negative,"@thedailybeast: WATCH: Trump's disgusting ""drop to your knees"" comment (mentioned @ #GOPdebate  http://t.co/yyz21reoOD #trumpisapig #fb",
Donald Trump,Negative,@washingtonpost @AaronBlakeWP What @megynkelly did to @realDonaldTrump was mean-spirited. Everyone should boycott her show! #GOPDebate,
Marco Rubio,Neutral,"RT @JillStanek: ""Iäó»m not sure thatäó»s a correct assessment of my record. I have never advocated that."" @marcorubio on rape/incest exception äó_",
Donald Trump,Negative,RT @PayAttnLibs: This #GOPDebate would be over by now if @megynkelly could just pull out a gun and shoot Trump. Clear it's what she wants,
Donald Trump,Negative,"RT @steviecoolest: #GOPDebate
Cands/Mods: Trump, you can't run independent! We'll lose!
Me: Your last pick said http://t.co/c2r0qZdexv was äó_",
Donald Trump,Neutral,RT @bkurbs: What are you saying? @realDonaldTrump #GOPDebate http://t.co/mSq6cN6B3s,
Donald Trump,Negative,RT @SoccerMum11: Is it me or was #GOPDebate asking more personal attack type questions to @realDonaldTrump? Not cool.,
John Kasich,Negative,#GOPDebate @JohnKasich your country doesn't make your top 3? #unpatriotic,
Donald Trump,Negative,Did anybody see Trump's face when Rubio mentioned #ElChapo last night? The horror. #GOPDebate,
Donald Trump,Negative,"RT @BiasedGirl: ""Donald Trump is not a Conservative"" ~ @AndrewBreitbart   #GOPDebate #DumpTrump",
