tweet_id,candidate,name,tweet_created,tweet_location,user_timezone,retweet_count,sentiment,quote_sentiment,tone(general),text
ID708107347369992193,Trump,Brittany Chapa,3/10/2016 20:48,Texas,Pacific Time (US & Canada),6,negative,negative,negative,I will not support Donald Trump. Sorry not sorry @Reince #GOPDebate
ID708108722535444481,Trump,Joe Wosik,3/10/2016 20:54,"San Mateo, CA",Pacific Time (US & Canada),1,negative,negative,negative,How many times will TRUMP TALK ABOUT HIS DICK SIZE????  #GOPDebate
ID708109425450422273,Trump,Captain Cabinet's,3/10/2016 20:56,"Portland, Oregon",Pacific Time (US & Canada),4,negative,negative,negative,"RT @eScarry: Anderson Cooper says there are ""Enormous steaks"" tonight, presumably referring to Trump Steaks. #GOPDebate"
ID708090973650178048,Trump,Alexandra Slavik,3/10/2016 19:43,"Fort Worth, TX",Central Time (US & Canada),71,negative,negative,neutral,RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel
ID708041887379103744,Trump,NepentheRay,3/10/2016 16:28,?     ?   over there  ?    ?,Quito,313,positive,positive,positive,"RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h…"
ID708094647218937856,Trump,Mike Wilcox,3/10/2016 19:58,"New Hampshire, USA",null,44,positive,positive,negative,"RT @Veteran4Trump: Herschel Walker - Shut Up to @MittRomney ... You're a Loser!  ""Trump will save America"" https://t.co/z2l0QNxhBw #AlwaysT…"
ID708039050733744128,Trump,JUSTICE LEAGUE,3/10/2016 16:17,null,null,0,positive,positive,negative,@realDonaldTrump STRATEGY 4 2Nites debate: BE VERY PRESIDENTIAL&DEBATE ON ISSUES! Don't stoop to their level or take bait. #TRUMP #GOPDEBATE
ID708108799232643072,Trump,Kurt Gottshall,3/10/2016 20:54,"Elizabethtown, PA",Pacific Time (US & Canada),63,negative,negative,negative,"RT @pattonoswalt: Six minutes. Six minutes. Six minutes, Douch-ey Trump, you're on. #GOPDebate"
ID708078422208208896,Trump,TW- Patriot,3/10/2016 18:53,null,null,52,negative,negative,negative,"RT @tgradous: Donald Trump StiffedCasio Builders WhileSpending ?1 Millionhttps://t.co/jKq6e5WJ6f#GOPDebate #NeverTrump https://t.co/uw…"
ID708074484444454912,Trump,Jack Donnelly,3/10/2016 18:38,"America, a great country!",Pacific Time (US & Canada),3,neutral,neutral,negative,RT @Ward4Anderson: According to a recent report #Republicans contribute to veterans suicides! @SpeakerRyan #Trump #GOPDebate  https://t.co/…
ID708109087729278976,Trump,dawn goodfallow,3/10/2016 20:55,"Texas, USA",null,6,positive,positive,negative,I don't believe a word #Reince has to say #Trump has been loyal to his pledge #GOP has betrayed us!#GOPDebate #CNN https://t.co/4T6wYTKae4
ID708066475349843969,Trump,Joe Brown,3/10/2016 18:06,Virginia,Quito,6,positive,positive,negative,"RT @RedheadAndRight: Trump must be thinking, not another meaningless, biased debate. Mr. Trump, we feel for you. #GOPDebate @realDonaldTrump"
ID708102955237449728,Trump,Darwin1800,3/10/2016 20:31,null,London,37,negative,negative,negative,RT @KyleKulinski: The comically ignorant Trump supporter who called the KKK a 'leftist terrorist organization' is still on CNN. #GOPDebate
ID708103971081039872,Trump,shannonsistrunk,3/10/2016 20:35,Mississippi,Central Time (US & Canada),0,negative,negative,negative,It's hard to talk to Trump on the issues #CNN... He doesn't have any substantial ones. #GOPDebate
ID708058638846447616,Cruz,DON,3/10/2016 17:35,#USA ,null,49,positive,positive,positive,RT @peddoc63: Jeb Bush was a good governor. I hope he endorses Cruz. Everyone should support Cruz. He's a fighter & winner! #GOPDebate #Flo…
ID707990954645426176,Cruz,Lettie,3/10/2016 13:06,null,null,1,positive,positive,positive,RT @Chamberlain1973: Bush Family Member Endorses #TedCruz! #FLPrimary #ILPrimary #MOPrimary #NCPrimary #OHPrimary #GOPDebate #VOAV https://…
ID708101651794558976,Cruz,Sylvi H,3/10/2016 20:26,"Texas, USA",null,29,negative,negative,negative,RT @ameripundit: POLL: Will Ted Cruz have another 'booger' in his nose during tonight's CNN-hosted #GOPDebate?
ID707803724836708353,Cruz,Susan A Briggs,3/10/2016 0:42,"Colorado, USA",null,11,positive,positive,positive,RT @Chamberlain1973: Bush Family Member Endorses #TedCruz! #FLPrimary #ILPrimary #MOPrimary #NCPrimary #OHPrimary #GOPDebate #VOAV  https:/…
ID708066613317087232,Cruz,NewsJunkie24/7,3/10/2016 18:06,null,Pacific Time (US & Canada),49,positive,positive,positive,RT @peddoc63: Jeb Bush was a good governor. I hope he endorses Cruz. Everyone should support Cruz. He's a fighter & winner! #GOPDebate #Flo…
ID708110156307910658,Cruz,FeralLeftistScumbag,3/10/2016 20:59,null,null,4,negative,negative,negative,RT @Notnow71: Even though Cruz looks & sounds like Jim Jones nobody drinks his kool aid except for the zealots #GOPDebate  https://t.co/flr…
ID708040848366280705,Cruz,Feisty??Floridian,3/10/2016 16:24,null,Eastern Time (US & Canada),59,positive,positive,positive,My Friends we have a choice! Democrats favorite deal maker or Ted Cruz! #ChooseCruz #CruzCrew #Pjnet #GOPDebate https://t.co/zPgA1X7ko1
ID708056756610572288,Cruz,�_�_?�___�_?,3/10/2016 17:27,null,Pacific Time (US & Canada),11,negative,negative,negative,#Disturbing!!!! Watch Ted Cruz coach his family through a campaign ad shoot. #CruzCrew #TedCruz #GOPDebate https://t.co/MJHmfDgudG
ID708097164036079616,Cruz,Nate Hoffelder,3/10/2016 20:08,null,Eastern Time (US & Canada),17,negative,negative,negative,RT @ImAmandaNelson: Hi Mr. Cruz when you're elected are the Handmaids going to be required to wear red because that clashes with my complex…
ID708044918283902977,Cruz,VictoriaAckerman,3/10/2016 16:40,null,null,89,positive,positive,positive,RT @DarleneHBrook: New Gallup Poll Shows #TedCruz W/ Highest #GOP Favorable Rating https://t.co/XLqNl9kP9L #GOPDebate #1A #2A #CruzCrew htt…
ID708040049850499072,Cruz,loubna,3/10/2016 16:21,null,null,2,positive,positive,positive,RT @Dannerism: TONIGHT: Cruz missile vs Bronx cheerleader #GOPDebate .@qnoftherealm @zoumrouda @tracieeeeee @RedNationRising @RNRTexas @ate…
ID708108884603486208,Cruz,M LaChance,3/10/2016 20:54,"New Hampshire, USA",Atlantic Time (Canada),9,positive,positive,positive,"RT @TFinn82: Thing with watching Cruz debate, I never worry that he'll say something stupid. :) #GOPDebate"
ID708040575178637312,Cruz,Matthew Gallelli,3/10/2016 16:23,"Loudoun County, Virginia",null,66,negative,negative,negative,"RT @NARAL: Ted Cruz has touted his commitment to the Constitution, but wants to deny women their constitutional right to an abortion. #GOPD…"
ID708107799566426112,Cruz,Fred Wallaby,3/10/2016 20:50,null,null,17,negative,negative,negative,RT @ImAmandaNelson: Hi Mr. Cruz when you're elected are the Handmaids going to be required to wear red because that clashes with my complex…
ID708033217878749189,Cruz,Michael Gene Berry,3/10/2016 15:54,"Fort Sill, OK",Baghdad,17,positive,positive,positive,RT @Elisabeth242: Looks like Ted Cruz Is BEST!! #GOPDebate https://t.co/zBWqGsJIKR
ID707812980113731585,Cruz,Antoinette,3/10/2016 1:18,New England,Eastern Time (US & Canada),316,negative,negative,negative,RT @TheDailyEdge: Ted Cruz: I will defend your rights to discriminate against gays. Gays are the real terrorists #GOPDebate https://t.co/di…
ID708109752765521921,Cruz,Mr. Phillips,3/10/2016 20:58,"Arlington, VA",Eastern Time (US & Canada),0,negative,negative,negative,Why no Canadian national anthem for Ted Cruz tho? ???????? #GOPDebate
ID708033781655994368,Cruz,Ruth White,3/10/2016 15:56,"Phoenix, AZ",null,17,neutral,neutral,neutral,RT @ReutersLive: LIVE: Ted Cruz campaigns in Miami ahead of #GOPDebate. https://t.co/CCjw12RrUm https://t.co/zAJjgPe0zG
ID708010514006183937,Cruz,Christopher Ungureit,3/10/2016 14:23,null,null,0,negative,negative,negative,#GOPDebate Cruz said everything but the 47%
ID708073873929936897,Cruz,Kandi Rider,3/10/2016 18:35,Minnesota. God Bless America,null,89,positive,positive,positive,RT @DarleneHBrook: New Gallup Poll Shows #TedCruz W/ Highest #GOP Favorable Rating https://t.co/XLqNl9kP9L #GOPDebate #1A #2A #CruzCrew htt…
ID708083082499239936,Cruz,Steve Hazard,3/10/2016 19:12,Upstate New York,Eastern Time (US & Canada),22,positive,positive,positive,"RT @weeklystandard: .@tedcruz says Americans ""are interested in solutions, not slogans."" https://t.co/bWrSUaTm9q #gopdebate https://t.co/SU…"
ID708042731558281216,Cruz,Oathkeeper,3/10/2016 16:31,null,Central Time (US & Canada),59,positive,positive,positive,RT @peddoc63: My Friends we have a choice! Democrats favorite deal maker or Ted Cruz! #ChooseCruz #CruzCrew #Pjnet #GOPDebate https://t.co/…
ID708100855573172224,Cruz,Heather,3/10/2016 20:22,Tennessee,null,29,negative,negative,negative,RT @ameripundit: POLL: Will Ted Cruz have another 'booger' in his nose during tonight's CNN-hosted #GOPDebate?
ID708100446976606208,Cruz,Jeff C,3/10/2016 20:21,RI guy in FL,Eastern Time (US & Canada),0,neutral,neutral,negative,#GOPDebate Forina pushing the VAT pushing Cruz. Both a corporation wrecker. Look at that Face. Follow her over a cliff at your own risk
ID708103536538722304,Cruz,Pop Drop,3/10/2016 20:33,Bexhill,null,29,negative,negative,negative,RT @ameripundit: POLL: Will Ted Cruz have another 'booger' in his nose during tonight's CNN-hosted #GOPDebate?
ID708022752461111296,Cruz,Mundane Tragedies,3/10/2016 15:12,New York City,Atlantic Time (Canada),1,negative,negative,negative,RT @Liampcahill: When I hear Ted Cruz talk #GOPDebate https://t.co/z87Hw7eb4L
ID708065308246994946,Cruz,Disgruntled Goyim,3/10/2016 18:01,"Mogadishu, Somalia",null,11,negative,negative,negative,RT @N1K0LAK1: #Disturbing!!!! Watch Ted Cruz coach his family through a campaign ad shoot. #CruzCrew #TedCruz #GOPDebate https://t.co/MJHmf…
ID708022513750646784,Cruz,Reuters Top News,3/10/2016 15:11,Around the world,Eastern Time (US & Canada),17,neutral,neutral,neutral,RT @ReutersLive: LIVE: Ted Cruz campaigns in Miami ahead of #GOPDebate. https://t.co/CCjw12RrUm https://t.co/zAJjgPe0zG
ID708109967216222208,Kasich,hve,3/10/2016 20:59,"Ada, Michigan USA",Eastern Time (US & Canada),0,positive,positive,negative,This show of patriotism opening the #gopdebate seems weird considering these candidates (except maybe Kasich)
ID707967436075638784,Kasich,JACOB DICK,3/10/2016 11:32,"Jackson,Michigan",null,150,positive,positive,positive,RT @JohnKasich: There's no substitute for nat'l security experience in a Commander-in-Chief. Gov Kasich has 18 yrs of it. #GOPDebate https:…
ID708075491354386432,Kasich,troy smith,3/10/2016 18:42,null,London,14,negative,negative,negative,RT @NBCNews: The Lid: Can @JohnKasich handle the heat at tonight's #GOPDebate?https://t.co/1JJgdmguwP https://t.co/F3yVtHqmOL
ID708109798382968832,Kasich,Gilbert Gilson,3/10/2016 20:58,null,Pacific Time (US & Canada),0,negative,negative,negative,Kasich's heart is dropping a little low ? #GOPDebate
ID708109897171337217,Kasich,Matt (Just) DeWitte,3/10/2016 20:58,"Elmhurst, IL",null,0,positive,positive,positive,Kasich has a good chance to secure the nomination tonight. #GOPDebate
ID708110169255890944,Kasich,Abby Huntsman,3/10/2016 20:59,"New York, NY",Atlantic Time (Canada),6,neutral,neutral,neutral,Kasich got a hair cut. #GOPDebate
ID708109899088138240,Kasich,Chris Gillmann,3/10/2016 20:58,null,null,46,neutral,neutral,negative,RT @KyleKulinski: Without Anderson Cooper hosting how will I know which Pokemon is Kasich's favorite? #GOPDebate
ID708109974556303360,Kasich,Asad Abbas Minhas,3/10/2016 20:59,"Chakwal,Pakistan",Islamabad,6,neutral,neutral,neutral,RT @bpolitics: Here's a closer look at John Kasich's resume https://t.co/U9BjXk71zw #GOPDebate
ID708106577144901632,Kasich,Tony Hardwick,3/10/2016 20:45,"Corinth, MS",Mountain Time (US & Canada),0,neutral,neutral,neutral,@KrystalPistolKP maybe #Kasich will become more aggressive tonight  #GOPDebate
ID708105697129418753,Kasich,Ryan Stepler,3/10/2016 20:42,"Houston, TX USA",Amsterdam,0,positive,positive,negative,Is #Kasich going to be designated driver again tonight? #GOPDebate
ID708024174283915264,Kasich,Bereket Kelile,3/10/2016 15:18,Northern California,Pacific Time (US & Canada),0,positive,positive,positive,4 reasons Kasich wins the #GOP nomination https://t.co/PezQI7FyOT #GOPDebate
ID708008319416283136,Rubio,Top Blog Sites,3/10/2016 14:15,"San Diego, California",Pacific Time (US & Canada),42,negative,negative,negative,"RT @MDGallar: Rubio now denies lying to FL voters or supporting amnesty. We have photos of it Li'l Marco. #GOPdebate#FLprimary https://t.…"
ID708100642636742661,Rubio,Madman in a Blue Box,3/10/2016 20:22,"Columbus, OH",Eastern Time (US & Canada),5,negative,negative,negative,"RT @sueinphilly: This will be the last time we see Rubio at #GOPDebate Bye #inners"
ID707920161286852608,Rubio,Tony,3/10/2016 8:24,null,Central Time (US & Canada),0,positive,positive,positive,"@marcorubio just needs to be Marco Rubio in the debate tonight, be the person everyone knows. ##GOPDebate"
ID708103695410434048,Rubio,Patrick He,3/10/2016 20:34,"Bothell, WA",null,0,neutral,neutral,neutral,"Just googled Rubio's Bio, if he doesn't win Florida, he will be gone for sure. #GOPDebate"
ID708015868710551552,Rubio,lisa,3/10/2016 14:45,ontario canada,null,42,negative,negative,negative,"RT @MDGallar: Rubio now denies lying to FL voters or supporting amnesty. We have photos of it Li'l Marco. #GOPdebate#FLprimary https://t.…"
ID708103250768207873,Rubio,Law-rence,3/10/2016 20:32,West Virginia Wesleyan College,Atlantic Time (Canada),21,positive,positive,positive,"RT @FiveThirtyEight: It hasn't done him much good, but Rubio has a clear lead in endorsements. https://t.co/4Xuserzcmv #GOPDebate"
ID708104129336492032,Rubio,Joel,3/10/2016 20:35,@politicaljoel ,Atlantic Time (Canada),27,negative,negative,negative,"RT @KyleKulinski: Anderson Cooper just said it's ""make or break, do or die"" for Marco Rubio tonight. No, that was like a month ago. Already…"
ID708110152906383360,Rubio,Joe Waldorf,3/10/2016 20:59,"Rochester, NY",Eastern Time (US & Canada),1,negative,negative,negative,RT @tedbishop38pga: @CNN Marco Rubio only candidate who shook no one's hand. #GOPDebate
ID708104260865679361,Rubio,Bet,3/10/2016 20:36,null,null,1,negative,negative,negative,"Rubio ""I'm really sorry I made the Donald mad -- please forgive me, please, please, please""#GOPDebate @marcorubio  https://t.co/XaBRkSKKki"
ID708109224912367620,Rubio,Christopher Adams,3/10/2016 20:56,null,Central Time (US & Canada),0,positive,positive,positive,The crowd seems to be mildly pro-Rubio #GOPDebate
ID708110154626105344,Rubio,Timothy Davis,3/10/2016 20:59,"Cleveland Street, Burlington	",Bucharest,0,negative,negative,negative,business: RT BloombergTV: How MarcoRubio became Florida's not-so-favorite son https://t.co/fMEeEaWpdM #GOPdebate https://t.co/PmY6ZqmMze
ID708109288594673665,Rubio,mike avila,3/10/2016 20:56,Miami ,Quito,0,positive,positive,neutral,Rubio gets by far the loudest cheer here at the Univ of Miami. Not surprising considering this is his backyard. #GOPdebate
ID708044002847694848,Rubio,Patricia L.Danielson,3/10/2016 16:36,Columbia Heights Minnesota,null,240,neutral,positive,neutral,"RT @marcorubio: Get ready Hialeah: come rally w/ me tonight before the next #GOPDebate! Space is limited, RSVP now: https://t.co/FlA1DB4H3S…"
ID708106593326342144,Rubio,Randy Prine,3/10/2016 20:45,null,Central Time (US & Canada),21,negative,negative,negative,"RT @sierraclub: ICYMI: Newsweek -- ""South Florida Is Sinking. Where Is Marco Rubio?"" https://t.co/A2Nq2vRcWr | #GOPDebate | Answer: AWOL"
ID708109713049722880,Rubio,Maggie,3/10/2016 20:58,null,null,7,negative,negative,negative,"RT @LawlessPirate: Rubio is like, ""what am I even doing up here?"" #GOPDebate"
ID708109434396999682,Rubio,Ari Behar,3/10/2016 20:56,null,null,19,positive,positive,positive,RT @guypbenson: Rubio crowd in South Florida. #GOPDebate
ID708051455639326720,Rubio,Sammie Snickers,3/10/2016 17:06,null,Eastern Time (US & Canada),12,negative,negative,negative,"RT @MDGallar: Rubio's campaign is so impulsive it's hard to describe, but I think this sums up his strategy.#GOPdebate#FLprimary https://…"
ID708073235385028608,Rubio,Sam Jones ?,3/10/2016 18:33,"Olive Branch, MS",Central Time (US & Canada),0,negative,negative,negative,In tonight's #GOPDebate I look for the following. Rubio's desperate engagement of all three other candidates.... https://t.co/wzbiFqzOJg
ID707937780203184129,Rubio,Carol Costello,3/10/2016 9:34,null,null,2,neutral,neutral,neutral,We're live today at the University of Miami. Next we talk w/ Rubio supporter @NinoskaPerezC on tonight's #GOPDebate https://t.co/Zkrz5LZnb8
